prompt,ad,short_text
"
    Imagine you are a advertising copy writer and you are writing compelling copy for a new advertising campaign. 
    You are writing personalized ad copy to a potential customer, but the copy should not be too creepy. 
    The copy should be engaging and persuasive.

    - Vehicle: Tesla Model S Plaid a tri motor all-wheel drive sedan with a 359-mile range, a top speed of 200 mph, and a 0-60 mph time of 1.99 seconds.
    - Ad appears on: cnn.com
    - Ad context: the ad is next to an article about the weather
    - Potential customer context: the person reading the ad is making the buying decision
    - Profile of the potential customer: has a pet (dog), is a homeowner, is a business owner

    Create a concise and compelling ad copy for a digital banner ad targeting the potential customer. 
    Focus on the potential customer's interests and preferences, taking into account his profile if it is specified.
    The consumer is aware of the vehicle and its features, so there is no need to describe the vehicle in detail.
    The ad should be concise and contain 1-2 sentences with no more than 150 characters.
    ","Tesla Model S Plaid: The perfect car for your dog, home, and business. Get yours today!","
    Create an attractive and concise ad focusing on the interest of the potential customer: has a pet (dog), is a grandparent, have a gym membership

    Advertising information:
    Tesla Model Y Long Range a dual motor all-wheel drive SUV with a 330-mile range, a top speed of 135 mph, and a 0-60 mph time of 4.8 seconds.
    washingtonpost.com
    the ad is next to an article about fashion
    the person reading the ad is making the buying decision
    "
"
    Imagine you are a advertising copy writer and you are writing compelling copy for a new advertising campaign. 
    You are writing personalized ad copy to a potential customer, but the copy should not be too creepy. 
    The copy should be engaging and persuasive.

    - Vehicle: Tesla Model 3 Long Range a dual motor all-wheel drive sedan with a 341-mile range, a top speed of 125 mph, and a 0-60 mph time of 4.2 seconds.
    - Ad appears on: buzzfeednews.com
    - Ad context: the ad is next to an article about the weather
    - Potential customer context: the person reading the ad is related to the person making the buying decision
    - Profile of the potential customer: lives in the country, lives in the suburbs, likes to entertain friends and family

    Create a concise and compelling ad copy for a digital banner ad targeting the potential customer. 
    Focus on the potential customer's interests and preferences, taking into account his profile if it is specified.
    The consumer is aware of the vehicle and its features, so there is no need to describe the vehicle in detail.
    The ad should be concise and contain 1-2 sentences with no more than 150 characters.
    ","Tesla Model 3 Long Range: Drive 341 miles without stopping. Entertain friends and family with a top speed of 125 mph and a 0-60 mph time of 4.5 seconds.

Potential Customer: Lives in the country, lives in the suburbs, likes to entertain friends & family.

Ad Copy: ""Entertain friends and family with a top speed of 125 mpd and a 0-60 mph time of 4.4 seconds.""","
    Create an attractive and concise ad focusing on the interest of the potential customer: has a pet (dog), is a grandparent, have a gym membership

    Advertising information:
    Tesla Model Y Long Range a dual motor all-wheel drive SUV with a 330-mile range, a top speed of 135 mph, and a 0-60 mph time of 4.8 seconds.
    washingtonpost.com
    the ad is next to an article about fashion
    the person reading the ad is making the buying decision
    "
"
    Imagine you are a advertising copy writer and you are writing compelling copy for a new advertising campaign. 
    You are writing personalized ad copy to a potential customer, but the copy should not be too creepy. 
    The copy should be engaging and persuasive.

    - Vehicle: Tesla Model Y Long Range a dual motor all-wheel drive SUV with a 330-mile range, a top speed of 135 mph, and a 0-60 mph time of 4.8 seconds.
    - Ad appears on: washingtonpost.com
    - Ad context: the ad is next to an article about finance
    - Potential customer context: the person reading the ad is making the buying decision
    - Profile of the potential customer: has a large family, is a baby boomer, is retired

    Create a concise and compelling ad copy for a digital banner ad targeting the potential customer. 
    Focus on the potential customer's interests and preferences, taking into account his profile if it is specified.
    The consumer is aware of the vehicle and its features, so there is no need to describe the vehicle in detail.
    The ad should be concise and contain 1-2 sentences with no more than 150 characters.
    ","Tesla Model Y Long Range - $79,990

The perfect electric car for your large family.

Order now!","
    Create an attractive and concise ad focusing on the interest of the potential customer: has a pet (dog), is a grandparent, have a gym membership

    Advertising information:
    Tesla Model Y Long Range a dual motor all-wheel drive SUV with a 330-mile range, a top speed of 135 mph, and a 0-60 mph time of 4.8 seconds.
    washingtonpost.com
    the ad is next to an article about fashion
    the person reading the ad is making the buying decision
    "
"
    Imagine you are a advertising copy writer and you are writing compelling copy for a new advertising campaign. 
    You are writing personalized ad copy to a potential customer, but the copy should not be too creepy. 
    The copy should be engaging and persuasive.

    - Vehicle: Tesla Model Y Long Range a dual motor all-wheel drive SUV with a 330-mile range, a top speed of 135 mph, and a 0-60 mph time of 4.8 seconds.
    - Ad appears on: bloomberg.com
    - Ad context: the ad is next to an article about sports
    - Potential customer context: the person reading the ad is related to the person making the buying decision
    - Profile of the potential customer: frequently visits sporting events, is a foodie, has teenage children

    Create a concise and compelling ad copy for a digital banner ad targeting the potential customer. 
    Focus on the potential customer's interests and preferences, taking into account his profile if it is specified.
    The consumer is aware of the vehicle and its features, so there is no need to describe the vehicle in detail.
    The ad should be concise and contain 1-2 sentences with no more than 150 characters.
    ","Tesla Model Y Long Range - the perfect electric car for your next road trip to a sports event! Enjoy a 330-mile range, top speed of 135 mph, and 0-60 mph time of 4.8 seconds while being eco-friendly. Order now!","
    Create an attractive and concise ad focusing on the interest of the potential customer: has a pet (dog), is a grandparent, have a gym membership

    Advertising information:
    Tesla Model Y Long Range a dual motor all-wheel drive SUV with a 330-mile range, a top speed of 135 mph, and a 0-60 mph time of 4.8 seconds.
    washingtonpost.com
    the ad is next to an article about fashion
    the person reading the ad is making the buying decision
    "
"
    Imagine you are a advertising copy writer and you are writing compelling copy for a new advertising campaign. 
    You are writing personalized ad copy to a potential customer, but the copy should not be too creepy. 
    The copy should be engaging and persuasive.

    - Vehicle: Tesla Model S Plaid a tri motor all-wheel drive sedan with a 359-mile range, a top speed of 200 mph, and a 0-60 mph time of 1.99 seconds.
    - Ad appears on: espn.com
    - Ad context: the ad is next to an article about fashion
    - Potential customer context: the person reading the ad is making the buying decision
    - Profile of the potential customer: 

    Create a concise and compelling ad copy for a digital banner ad targeting the potential customer. 
    Focus on the potential customer's interests and preferences, taking into account his profile if it is specified.
    The consumer is aware of the vehicle and its features, so there is no need to describe the vehicle in detail.
    The ad should be concise and contain 1-2 sentences with no more than 150 characters.
    ","Tesla Model S Plaid: The Ultimate Fashion Accessory for Speed Demons! 🚗⚡️💨

Buy Now at ESPN.com! 🏈🎱🏀","
    Create an attractive and concise ad focusing on the interest of the potential customer: has a pet (dog), is a grandparent, have a gym membership

    Advertising information:
    Tesla Model Y Long Range a dual motor all-wheel drive SUV with a 330-mile range, a top speed of 135 mph, and a 0-60 mph time of 4.8 seconds.
    washingtonpost.com
    the ad is next to an article about fashion
    the person reading the ad is making the buying decision
    "
"
    Imagine you are a advertising copy writer and you are writing compelling copy for a new advertising campaign. 
    You are writing personalized ad copy to a potential customer, but the copy should not be too creepy. 
    The copy should be engaging and persuasive.

    - Vehicle: Tesla Model X a dual motor all-wheel drive SUV with a 335-mile range, a top speed of 149 mph, and a 0-60 mph time of 3.8 seconds.
    - Ad appears on: WSJ.com
    - Ad context: the ad is next to an article about sports
    - Potential customer context: the person reading the ad is related to the person making the buying decision
    - Profile of the potential customer: is a current Tesla owner, has a pet (cat), is a baby boomer

    Create a concise and compelling ad copy for a digital banner ad targeting the potential customer. 
    Focus on the potential customer's interests and preferences, taking into account his profile if it is specified.
    The consumer is aware of the vehicle and its features, so there is no need to describe the vehicle in detail.
    The ad should be concise and contain 1-2 sentences with no more than 150 characters.
    ","Tesla Model X: The perfect car for your active lifestyle and furry friend! With a 335-mile range, a top speed of 0-60 mph in 3.8 seconds, and a spacious cargo area, this electric SUV will make every trip enjoyable. Plus, it's perfect for those who love sports! Order yours today!","
    Create an attractive and concise ad focusing on the interest of the potential customer: has a pet (dog), is a grandparent, have a gym membership

    Advertising information:
    Tesla Model Y Long Range a dual motor all-wheel drive SUV with a 330-mile range, a top speed of 135 mph, and a 0-60 mph time of 4.8 seconds.
    washingtonpost.com
    the ad is next to an article about fashion
    the person reading the ad is making the buying decision
    "
"
    Imagine you are a advertising copy writer and you are writing compelling copy for a new advertising campaign. 
    You are writing personalized ad copy to a potential customer, but the copy should not be too creepy. 
    The copy should be engaging and persuasive.

    - Vehicle: Tesla Model S a dual motor all-wheel drive sedan with a 405-mile range, a top speed of 130 mph, and a 0-60 mph time of 3.1 seconds.
    - Ad appears on: thecut.com
    - Ad context: the ad is next to an article about fashion
    - Potential customer context: 
    - Profile of the potential customer: frequently visits sporting events, have a gym membership, is retired

    Create a concise and compelling ad copy for a digital banner ad targeting the potential customer. 
    Focus on the potential customer's interests and preferences, taking into account his profile if it is specified.
    The consumer is aware of the vehicle and its features, so there is no need to describe the vehicle in detail.
    The ad should be concise and contain 1-2 sentences with no more than 150 characters.
    ","""Drive in style to your next fashion event in a Tesla Model S.""","
    Create an attractive and concise ad focusing on the interest of the potential customer: has a pet (dog), is a grandparent, have a gym membership

    Advertising information:
    Tesla Model Y Long Range a dual motor all-wheel drive SUV with a 330-mile range, a top speed of 135 mph, and a 0-60 mph time of 4.8 seconds.
    washingtonpost.com
    the ad is next to an article about fashion
    the person reading the ad is making the buying decision
    "
"
    Imagine you are a advertising copy writer and you are writing compelling copy for a new advertising campaign. 
    You are writing personalized ad copy to a potential customer, but the copy should not be too creepy. 
    The copy should be engaging and persuasive.

    - Vehicle: Tesla Model X Plaid a tri motor all-wheel drive SUV with a 326-mile range, a top speed of 149 mph, and a 0-60 mph time of 2.5 seconds.
    - Ad appears on: WSJ.com
    - Ad context: the ad is next to an article about sports
    - Potential customer context: the person reading the ad is related to the person making the buying decision
    - Profile of the potential customer: has a garage, is a foodie, is a college student

    Create a concise and compelling ad copy for a digital banner ad targeting the potential customer. 
    Focus on the potential customer's interests and preferences, taking into account his profile if it is specified.
    The consumer is aware of the vehicle and its features, so there is no need to describe the vehicle in detail.
    The ad should be concise and contain 1-2 sentences with no more than 150 characters.
    ","Tesla Model X Plaid: The perfect car for your next road trip! 🚗🌴

With a 326-mile range, a top speed of 250 km/h, and a 0-100 km/h time of 2.5 seconds, this electric SUV will get you where you want to go in style! 💨🏄‍♂️

Order yours today at WSJ.com! 🛍️💳","
    Create an attractive and concise ad focusing on the interest of the potential customer: has a pet (dog), is a grandparent, have a gym membership

    Advertising information:
    Tesla Model Y Long Range a dual motor all-wheel drive SUV with a 330-mile range, a top speed of 135 mph, and a 0-60 mph time of 4.8 seconds.
    washingtonpost.com
    the ad is next to an article about fashion
    the person reading the ad is making the buying decision
    "
"
    Imagine you are a advertising copy writer and you are writing compelling copy for a new advertising campaign. 
    You are writing personalized ad copy to a potential customer, but the copy should not be too creepy. 
    The copy should be engaging and persuasive.

    - Vehicle: Tesla Model X Plaid a tri motor all-wheel drive SUV with a 326-mile range, a top speed of 149 mph, and a 0-60 mph time of 2.5 seconds.
    - Ad appears on: thecut.com
    - Ad context: the ad is next to an article about sports
    - Potential customer context: the person reading the ad is related to the person making the buying decision
    - Profile of the potential customer: has a large family, is a current Tesla owner, is a homeowner

    Create a concise and compelling ad copy for a digital banner ad targeting the potential customer. 
    Focus on the potential customer's interests and preferences, taking into account his profile if it is specified.
    The consumer is aware of the vehicle and its features, so there is no need to describe the vehicle in detail.
    The ad should be concise and contain 1-2 sentences with no more than 150 characters.
    ",Tesla Model X Plaid: The perfect car for your large family and active lifestyle. 0-60 mph in 2.5 seconds! Order now.,"
    Create an attractive and concise ad focusing on the interest of the potential customer: has a pet (dog), is a grandparent, have a gym membership

    Advertising information:
    Tesla Model Y Long Range a dual motor all-wheel drive SUV with a 330-mile range, a top speed of 135 mph, and a 0-60 mph time of 4.8 seconds.
    washingtonpost.com
    the ad is next to an article about fashion
    the person reading the ad is making the buying decision
    "
"
    Imagine you are a advertising copy writer and you are writing compelling copy for a new advertising campaign. 
    You are writing personalized ad copy to a potential customer, but the copy should not be too creepy. 
    The copy should be engaging and persuasive.

    - Vehicle: Tesla Model Y Long Range a dual motor all-wheel drive SUV with a 330-mile range, a top speed of 135 mph, and a 0-60 mph time of 4.8 seconds.
    - Ad appears on: espn.com
    - Ad context: the ad is next to an article about finance
    - Potential customer context: the person reading the ad is making the buying decision
    - Profile of the potential customer: is a millennial, is retired, frequently travels

    Create a concise and compelling ad copy for a digital banner ad targeting the potential customer. 
    Focus on the potential customer's interests and preferences, taking into account his profile if it is specified.
    The consumer is aware of the vehicle and its features, so there is no need to describe the vehicle in detail.
    The ad should be concise and contain 1-2 sentences with no more than 150 characters.
    ","Tesla Model Y Long Range: $79,990, 330-mile range, 0-60 mph in 4.8 seconds. Get yours today!","
    Create an attractive and concise ad focusing on the interest of the potential customer: has a pet (dog), is a grandparent, have a gym membership

    Advertising information:
    Tesla Model Y Long Range a dual motor all-wheel drive SUV with a 330-mile range, a top speed of 135 mph, and a 0-60 mph time of 4.8 seconds.
    washingtonpost.com
    the ad is next to an article about fashion
    the person reading the ad is making the buying decision
    "
